Token 1,Token 2,Token 3
0.333,0.333,0.333
0.35,0.325,0.325
0.39999999999999997,0.30000000000000004,0.30000000000000004
0.44999999999999996,0.275,0.275
0.49999999999999994,0.25,0.25
0.5499999999999999,0.22500000000000003,0.22500000000000003
0.6,0.2,0.2
0.65,0.175,0.175
0.7000000000000001,0.14999999999999997,0.14999999999999997
0.325,0.35,0.325
0.30000000000000004,0.39999999999999997,0.30000000000000004
0.275,0.44999999999999996,0.275
0.25,0.49999999999999994,0.25
0.22500000000000003,0.5499999999999999,0.22500000000000003
0.2,0.6,0.2
0.175,0.65,0.175
0.14999999999999997,0.7000000000000001,0.14999999999999997
0.325,0.325,0.35
0.30000000000000004,0.30000000000000004,0.39999999999999997
0.275,0.275,0.44999999999999996
0.25,0.25,0.49999999999999994
0.22500000000000003,0.22500000000000003,0.5499999999999999
0.2,0.2,0.6
0.175,0.175,0.65
0.14999999999999997,0.14999999999999997,0.7000000000000001
0.35,0.35,0.3
0.375,0.375,0.25
0.4,0.4,0.19999999999999996
0.35,0.3,0.35
0.375,0.25,0.375
0.4,0.19999999999999996,0.4
0.3,0.35,0.35
0.25,0.375,0.375
0.19999999999999996,0.4,0.4
0.35,0.335,0.315
0.39999999999999997,0.32000000000000006,0.28
0.44999999999999996,0.29500000000000004,0.255
0.49999999999999994,0.27,0.23
0.5499999999999999,0.24500000000000002,0.20500000000000004
0.6,0.22,0.18000000000000002
0.65,0.19499999999999998,0.155
0.35,0.315,0.335
0.39999999999999997,0.28,0.32000000000000006
0.44999999999999996,0.255,0.29500000000000004
0.49999999999999994,0.23,0.27
0.5499999999999999,0.20500000000000004,0.24500000000000002
0.6,0.18000000000000002,0.22
0.65,0.155,0.19499999999999998
0.335,0.35,0.315
0.32000000000000006,0.39999999999999997,0.28
0.29500000000000004,0.44999999999999996,0.255
0.27,0.49999999999999994,0.23
0.24500000000000002,0.5499999999999999,0.20500000000000004
0.22,0.6,0.18000000000000002
0.19499999999999998,0.65,0.155
0.315,0.35,0.335
0.28,0.39999999999999997,0.32000000000000006
0.255,0.44999999999999996,0.29500000000000004
0.23,0.49999999999999994,0.27
0.20500000000000004,0.5499999999999999,0.24500000000000002
0.18000000000000002,0.6,0.22
0.155,0.65,0.19499999999999998
0.315,0.335,0.35
0.28,0.32000000000000006,0.39999999999999997
0.255,0.29500000000000004,0.44999999999999996
0.23,0.27,0.49999999999999994
0.20500000000000004,0.24500000000000002,0.5499999999999999
0.18000000000000002,0.22,0.6
0.155,0.19499999999999998,0.65
0.335,0.315,0.35
0.32000000000000006,0.28,0.39999999999999997
0.29500000000000004,0.255,0.44999999999999996
0.27,0.23,0.49999999999999994
0.24500000000000002,0.20500000000000004,0.5499999999999999
0.22,0.18000000000000002,0.6
0.19499999999999998,0.155,0.65
